transaction_date,memo,value,ref_number
invalid_date,Poor Quality Transaction 1,$212.22,GL001
2024-01-02 00:00:00,Poor Quality Transaction 2,$-802.11,GL002
invalid_date,,$-319.33,GL003
2024-01-04 00:00:00,Poor Quality Transaction 4,invalid,GL004
invalid_date,Poor Quality Transaction 5,$381.48,GL005
2024-01-06 00:00:00,,$-17.21,
invalid_date,Poor Quality Transaction 7,$813.69,GL007
2024-01-08 00:00:00,Poor Quality Transaction 8,invalid,GL008
invalid_date,,$-397.84,GL009
2024-01-10 00:00:00,Poor Quality Transaction 10,$24.91,GL010
